CustomerId,Customer,City,StateProvince,CountryRegion,PostalCode
11000,Jon_Yang,Rockhampton,Queensland,Australia,4700
11001,Eugene_Huang,Seaford,Victoria,Australia,3198
11002,Ruben_Torres,Hobart,Tasmania,Australia,7001
11003,Christy_Zhu,North_Ryde,New_South_Wales,Australia,2113
11004,Elizabeth_Johnson,Wollongong,New_South_Wales,Australia,2500
11005,Julio_Ruiz,East_Brisbane,Queensland,Australia,4169
11006,Janet_Alvarez,Matraville,New_South_Wales,Australia,2036
11007,Marco_Mehta,Warrnambool,Victoria,Australia,3280
11008,Rob_Verhoff,Bendigo,Victoria,Australia,3550
11009,Shannon_Carlson,Hervey_Bay,Queensland,Australia,4655
11010,Jacquelyn_Suarez,East_Brisbane,Queensland,Australia,4169
11011,Curtis_Lu,East_Brisbane,Queensland,Australia,4169
11012,Lauren_Walker,Bremerton,Washington,United_States,98312
11013,Ian_Jenkins,Lebanon,Oregon,United_States,97355
11014,Sydney_Bennett,Redmond,Washington,United_States,98052
11015,Chloe_Young,Burbank,California,United_States,91502
11016,Wyatt_Hill,Imperial_Beach,California,United_States,91932
11017,Shannon_Wang,Sunbury,Victoria,Australia,3429
11018,Clarence_Rai,Bendigo,Victoria,Australia,3550
11019,Luke_Lal,Langley,British_Columbia,Canada,V3A_4R2
11020,Jordan_King,Metchosin,British_Columbia,Canada,V9
11021,Destiny_Wilson,Beaverton,Oregon,United_States,97005
11022,Ethan_Zhang,Bellingham,Washington,United_States,98225
11023,Seth_Edwards,Bellflower,California,United_States,90706
11024,Russell_Xie,Concord,California,United_States,94519
11025,Alejandro_Beck,Hawthorne,Queensland,Australia,4171
11026,Harold_Sai,Goulburn,New_South_Wales,Australia,2580
11027,Jessie_Zhao,Warrnambool,Victoria,Australia,3280
11028,Jill_Jimenez,St._Leonards,New_South_Wales,Australia,2065
11029,Jimmy_Moreno,Bendigo,Victoria,Australia,3550
11030,Bethany_Yuan,Cloverdale,South_Australia,Australia,6105
11031,Theresa_Ramos,Matraville,New_South_Wales,Australia,2036
11032,Denise_Stone,Melbourne,Victoria,Australia,3000
11033,Jaime_Nath,Milsons_Point,New_South_Wales,Australia,2061
11034,Ebony_Gonzalez,North_Sydney,New_South_Wales,Australia,2055
11035,Wendy_Dominguez,Cranbourne,Victoria,Australia,3977
11036,Jennifer_Russell,National_City,California,United_States,91950
11037,Chloe_Garcia,Cliffside,British_Columbia,Canada,V8Y_1L1
11038,Diana_Hernandez,Lavender_Bay,New_South_Wales,Australia,2060
11039,Marc_Martin,Wollongong,New_South_Wales,Australia,2500
11040,Jesse_Murphy,Tacoma,Washington,United_States,98403
11041,Amanda_Carter,Glendale,California,United_States,91203
11042,Megan_Sanchez,Los_Angeles,California,United_States,90012
11043,Nathan_Simmons,Glendale,California,United_States,91203
11044,Adam_Flores,Hervey_Bay,Queensland,Australia,4655
11045,Leonard_Nara,Matraville,New_South_Wales,Australia,2036
11046,Christine_Yuan,Lavender_Bay,New_South_Wales,Australia,2060
11047,Jaclyn_Lu,Geelong,Victoria,Australia,3220
